"Neighborhood","Activated","Latitude","Longitude"
"Hudson Yards-Chelsea-Flatiron-Union Square",2016-01-01,40.7421021446,-74.0042110753
"Chinatown",2017-01-01,40.7163550002,-73.9911979994
"Old Town-Dongan Hills-South Beach",2016-01-01,40.575748,-74.0806770005
"Turtle Bay-East Midtown",2016-07-01,40.7487327964,-73.975363394
"Longwood",2016-01-01,40.816104,-73.8964350002
"Mount Hope",2018-07-01,40.8464340002,-73.9129580004
"Clinton",2016-06-01,40.7624306402,-73.9861557696
"Queensbridge-Ravenswood-Long Island City",2016-01-01,40.7557352682,-73.944584432
"Lincoln Square",2016-07-01,40.7771371701,-73.9819042697
"Bedford",2016-01-01,40.6799210004,-73.9408590005
"Forest Hills",2017-03-01,40.7172123501,-73.8354962198
"Manhattanville",2017-09-01,40.8157995997,-73.9543637097
"Battery Park City-Lower Manhattan",2016-01-01,40.7072199999,-74.0133420002
"East Harlem North",2017-01-01,40.8001415301,-73.9449661597
"Hudson Yards-Chelsea-Flatiron-Union Square",2016-01-01,40.7423779996,-73.9886919994
"Central Harlem South",2016-10-01,40.8092681002,-73.9517076806
"Central Harlem North-Polo Grounds",2016-01-01,40.8133660003,-73.948843
"Astoria",2017-05-01,40.7591689999,-73.9189498694
"Turtle Bay-East Midtown",2018-02-01,40.7550431903,-73.96855237
"Crown Heights North",2017-02-01,40.6701150004,-73.9506270004
"Brooklyn Heights-Cobble Hill",2016-01-01,40.692404,-73.9901509997
"Bedford",2017-03-01,40.6800589999,-73.9422599997
"Turtle Bay-East Midtown",2016-01-01,40.7587770701,-73.9658396999
"West Concourse",2016-01-01,40.8280570004,-73.9230749999
"Old Astoria",2016-01-01,40.7723828899,-73.9287188126
"Clinton Hill",2017-04-01,40.6818530001,-73.9585350001
"Brooklyn Heights-Cobble Hill",2016-01-01,40.6973439997,-73.9973329996
"Norwood",2016-01-01,40.8766430003,-73.8785419996
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2016-01-01,40.694137,-73.9798132001
"East New York",2018-01-01,40.6769941203,-73.89835842
"Carroll Gardens-Columbia Street-Red Hook",2016-01-01,40.6724129997,-74.004303
"Battery Park City-Lower Manhattan",2016-01-01,40.7047004998,-74.0083008003
"Sheepshead Bay-Gerritsen Beach-Manhattan Beach",2016-01-01,40.5783799996,-73.9399199995
"Murray Hill-Kips Bay",2019-02-01,40.7449836101,-73.9827228297
"park-cemetery-etc-Brooklyn",2016-01-01,40.6129900004,-74.0129239997
"park-cemetery-etc-Queens",2016-01-01,40.7770000003,-73.9252000003
"Astoria",2018-02-01,40.7606860001,-73.9155699997
"Central Harlem North-Polo Grounds",2016-01-01,40.8126809996,-73.9393569996
"Upper West Side",2016-05-01,40.785005,-73.9787810002
"Greenpoint",2017-04-01,40.7281329999,-73.9534389996
"Old Town-Dongan Hills-South Beach",2016-01-01,40.5750829999,-74.0816830001
"Park Slope-Gowanus",2017-04-01,40.6745555102,-73.9819357697
"East New York",2016-01-01,40.6651593697,-73.8860705368
"East Village",2016-09-01,40.7311570103,-73.9859280201
"Westerleigh",2016-01-01,40.6177499998,-74.1081850003
"Turtle Bay-East Midtown",2019-02-01,40.7550150197,-73.9682764104
"Murray Hill-Kips Bay",2017-03-01,40.7470499996,-73.9770050006
"park-cemetery-etc-Bronx",2016-01-01,40.8389890001,-73.8887139998
"Upper East Side-Carnegie Hill",2016-03-01,40.7815029999,-73.9522789999
"Queensbridge-Ravenswood-Long Island City",2016-01-01,40.7552001994,-73.9442238947
"Morrisania-Melrose",2018-04-01,40.8225187913,-73.9106901254
"Hudson Yards-Chelsea-Flatiron-Union Square",2016-01-01,40.7404654556,-73.9933569112
"Chinatown",2016-01-01,40.7186109996,-73.988114
"Murray Hill-Kips Bay",2017-10-01,40.7502370001,-73.9773059999
"Midtown-Midtown South",2016-11-01,40.7599709996,-73.9843419996
"Hammels-Arverne-Edgemere",2016-01-01,40.5845510002,-73.8110030005
"park-cemetery-etc-Manhattan",2016-01-01,40.7974669996,-73.9507169999
"Hudson Yards-Chelsea-Flatiron-Union Square",2018-04-01,40.7394321803,-73.9954750904
"Baisley Park",2016-01-01,40.6697799996,-73.7889600002
"park-cemetery-etc-Manhattan",2016-01-01,40.7015999996,-74.0148999999
"St. Albans",2016-01-01,40.687191,-73.7695589996
"Old Town-Dongan Hills-South Beach",2017-02-01,40.5983967327,-74.0826213606
"Turtle Bay-East Midtown",2018-05-01,40.7571737696,-73.96390551
"Westchester-Unionport",2016-01-01,40.8266092254,-73.8501814579
"Norwood",2016-01-01,40.8748110001,-73.8788550004
"Hudson Yards-Chelsea-Flatiron-Union Square",2017-08-01,40.7408361702,-73.9881357799
"Battery Park City-Lower Manhattan",2016-01-01,40.7051009996,-74.0139998997
"Park Slope-Gowanus",2018-01-01,40.6635500702,-73.9912456206
"Murray Hill-Kips Bay",2019-01-01,40.7397623797,-73.9796929999
"Upper West Side",2016-07-01,40.79933067,-73.9682322398
"Carroll Gardens-Columbia Street-Red Hook",2017-11-01,40.685389756,-73.9945262011
"Kingsbridge Heights",2017-06-01,40.86366546,-73.9005118697
"Hunters Point-Sunnyside-West Maspeth",2016-01-01,40.7440649999,-73.9497239997
"Turtle Bay-East Midtown",2017-12-01,40.753149,-73.9728679996
"East Harlem North",2017-01-01,40.8007811996,-73.94624056
"Central Harlem North-Polo Grounds",2016-01-01,40.8128710001,-73.9493459995
"Upper West Side",2016-10-01,40.7959509996,-73.9688490003
"East Harlem South",2016-07-01,40.7949113799,-73.9423965402
"North Side-South Side",2016-01-01,40.7109881099,-73.9685338097
"Gramercy",2016-01-01,40.7338407502,-73.9866343903
"Governors Island",2016-01-01,40.69071,-74.0195700005
"Fort Greene",2016-01-01,40.6853080003,-73.9744719998
"Hudson Yards-Chelsea-Flatiron-Union Square",2016-04-01,40.7444030004,-73.9989929999
"Clinton",2016-07-01,40.7669397902,-73.9831552895
"Longwood",2016-01-01,40.8146900002,-73.8985019994
"East Village",2016-09-01,40.7256410001,-73.9896980003
"Brooklyn Heights-Cobble Hill",2016-01-01,40.6908829998,-73.9896349995
"Turtle Bay-East Midtown",2018-03-01,40.7568787502,-73.9638179695
"Central Harlem North-Polo Grounds",2016-01-01,40.8070920004,-73.9397140004
"North Side-South Side",2018-02-01,40.706822167,-73.9505289535
"Midtown-Midtown South",2016-04-01,40.7646461904,-73.9842294506
"Midtown-Midtown South",2017-05-01,40.7586329403,-73.9753407498
"Jamaica",2016-09-01,40.7038952802,-73.7990175101
"Morningside Heights",2018-04-01,40.8006900003,-73.9619456901
"Turtle Bay-East Midtown",2019-02-01,40.7561741504,-73.9678290802
"Upper West Side",2018-01-01,40.7841280003,-73.9799960002
"Borough Park",2016-01-01,40.6388851668,-73.9890077838
"West Village",2016-01-01,40.7252969996,-73.9962039999
"West New Brighton-New Brighton-St. George",2016-01-01,40.6423390003,-74.1026880006
"East Village",2018-05-01,40.7250035503,-73.9870394796
"Port Richmond",2016-01-01,40.637585616,-74.1311046151
"New Dorp-Midland Beach",2017-02-01,40.5726200002,-74.1133829994
"Crown Heights South",2016-01-01,40.6706820004,-73.9581310004
"Midtown-Midtown South",2018-03-01,40.7512738599,-73.9910694205
"Washington Heights North",2018-02-01,40.8528573648,-73.9310071503
"Forest Hills",2016-07-01,40.7176640001,-73.8362619997
"SoHo-TriBeCa-Civic Center-Little Italy",2016-01-01,40.7136065153,-74.0078616724
"East Tremont",2016-01-01,40.8407059999,-73.8913980006
"Crown Heights South",2017-04-01,40.6641664798,-73.9509196198
"Hamilton Heights",2018-04-01,40.8273049399,-73.9462259305
"Hudson Yards-Chelsea-Flatiron-Union Square",2018-04-01,40.7383023997,-73.9962956503
"Washington Heights South",2016-01-01,40.8360810002,-73.9431859998
"Mott Haven-Port Morris",2018-07-01,40.8073775198,-73.91700042
"Clinton",2016-04-01,40.7618160001,-73.9866059998
"Upper West Side",2016-01-01,40.7822850901,-73.9804763999
"Lincoln Square",2019-01-01,40.7765734296,-73.97905068
"East Harlem North",2016-01-01,40.8050129997,-73.9449089999
"West Village",2016-01-01,40.7303940002,-73.998476
"New Dorp-Midland Beach",2017-02-01,40.5734659897,-74.1069168496
"Midtown-Midtown South",2016-01-01,40.7527689999,-73.9791889998
"Richmond Hill",2017-09-01,40.6997544704,-73.8316089898
"Carroll Gardens-Columbia Street-Red Hook",2016-01-01,40.6725829999,-74.0055440003
"Mott Haven-Port Morris",2018-05-01,40.8121627203,-73.9164668698
"North Side-South Side",2018-03-01,40.7116663597,-73.9510261478
"Jamaica",2016-01-01,40.7078731318,-73.7946780399
"Astoria",2018-05-01,40.7639310004,-73.9224780003
"Bushwick South",2016-01-01,40.7045590639,-73.9396184214
"Central Harlem North-Polo Grounds",2016-01-01,40.8134339997,-73.939112
"Murray Hill-Kips Bay",2017-04-01,40.7433844603,-73.9820385505
"Hamilton Heights",2016-07-01,40.8290371297,-73.9488689103
"Upper West Side",2018-03-01,40.7946725903,-73.9700510404
"Westerleigh",2016-01-01,40.6182370002,-74.1072130004
"Park Slope-Gowanus",2017-04-01,40.6764090003,-73.98029
"Seagate-Coney Island",2016-01-01,40.5726690002,-73.9857469998
"Upper East Side-Carnegie Hill",2016-01-01,40.77237316,-73.9648388698
"Woodhaven",2016-01-01,40.6868889999,-73.8540349997
"Lenox Hill-Roosevelt Island",2018-03-01,40.76842289,-73.9613808596
"Brownsville",2016-01-01,40.664453793,-73.9052223115
"East Harlem North",2017-01-01,40.8004460001,-73.9464835204
"North Side-South Side",2018-03-01,40.7152266304,-73.9627406698
"Seagate-Coney Island",2016-01-01,40.5740619998,-73.9779820001
"Melrose South-Mott Haven North",2018-05-01,40.8193941504,-73.91616313
"Gramercy",2017-10-01,40.7421389997,-73.9830479999
"Gramercy",2018-02-01,40.7361409996,-73.9891830001
"Turtle Bay-East Midtown",2016-12-01,40.7493007304,-73.9748181995
"Lenox Hill-Roosevelt Island",2016-03-01,40.7616041202,-73.9663882998
"Upper West Side",2018-04-01,40.7892631802,-73.9702839002
"East Flushing",2016-01-01,40.7501699996,-73.8071899999
"Hudson Yards-Chelsea-Flatiron-Union Square",2016-01-01,40.741900312,-74.0018570427
"Midtown-Midtown South",2016-08-01,40.7544929897,-73.9869351504
"Central Harlem South",2016-01-01,40.8055840001,-73.9505360001
"East Concourse-Concourse Village",2018-06-01,40.8256047402,-73.9182580897
"Lincoln Square",2017-01-01,40.773657,-73.981404
"Central Harlem South",2016-01-01,40.798102,-73.950349
"Governors Island",2016-01-01,40.6885699998,-74.0147000004
"Murray Hill-Kips Bay",2017-08-01,40.7424329998,-73.9803709999
"Morningside Heights",2017-08-01,40.8049591501,-73.9659025004
"Governors Island",2016-01-01,40.6892299996,-74.0218499996
"Hudson Yards-Chelsea-Flatiron-Union Square",2016-01-01,40.7482700004,-74.0020679997
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2016-01-01,40.6920229997,-73.988433
"Morningside Heights",2017-03-01,40.8072958097,-73.9646455504
"Lenox Hill-Roosevelt Island",2019-02-01,40.7695056596,-73.9546093603
"East Village",2017-08-01,40.73030035,-73.98319263
"Elmhurst",2017-09-01,40.7407371396,-73.8793601805
"Upper West Side",2018-04-01,40.7825399701,-73.9751837098
"Battery Park City-Lower Manhattan",2016-01-01,40.7081985002,-74.0121002005
"Middle Village",2016-01-01,40.71921,-73.885335
"Gramercy",2016-02-01,40.74004081,-73.9824235595
"Pelham Bay-Country Club-City Island",2016-01-01,40.8481589997,-73.8210710004
"Oakwood-Oakwood Beach",2017-02-01,40.5647890002,-74.115318
"Manhattanville",2016-01-01,40.8141028299,-73.95586492
"Bushwick North",2016-01-01,40.7030410003,-73.9236280006
"Astoria",2017-06-01,40.7667662903,-73.9212759595
"Bedford Park-Fordham North",2016-01-01,40.8647299997,-73.899037
"Brooklyn Heights-Cobble Hill",2016-01-01,40.6943000001,-73.9988000002
"Longwood",2016-01-01,40.824255,-73.8979100001
"Murray Hill",2016-01-01,40.7712289998,-73.8090500002
"Baisley Park",2016-01-01,40.6807900002,-73.7846799996
"park-cemetery-etc-Brooklyn",2016-01-01,40.6608419997,-73.9651209997
"East New York",2016-01-01,40.6532640727,-73.8859090476
"Crown Heights North",2016-01-01,40.6753708519,-73.9485661367
"East Village",2016-10-01,40.7310149996,-73.9886849997
"Murray Hill-Kips Bay",2017-08-01,40.75027937,-73.9770118004
"Melrose South-Mott Haven North",2018-01-01,40.8201024948,-73.9128382274
"Crown Heights North",2016-01-01,40.6734299998,-73.9346299998
"Hunters Point-Sunnyside-West Maspeth",2017-03-01,40.7426309099,-73.9526776598
"Hunters Point-Sunnyside-West Maspeth",2017-07-01,40.7439759997,-73.9277719998
"North Side-South Side",2016-01-01,40.7200789997,-73.9495109998
"New Dorp-Midland Beach",2016-01-01,40.5719318484,-74.1119581475
"Governors Island",2016-01-01,40.6927199996,-74.0157800002
"Murray Hill-Kips Bay",2018-04-01,40.7438912097,-73.9833700403
"Hamilton Heights",2016-07-01,40.8250896001,-73.9516556999
"Central Harlem South",2016-12-01,40.8090218697,-73.9486888994
"Bushwick North",2016-01-01,40.7029779998,-73.9247370003
"Upper West Side",2017-07-01,40.7948956597,-73.9718562601
"Murray Hill-Kips Bay",2019-01-01,40.7450998102,-73.9788209601
"Crown Heights North",2017-03-01,40.6769760001,-73.9499159996
"Battery Park City-Lower Manhattan",2016-01-01,40.7042998996,-74.0102005003
"Morningside Heights",2017-10-01,40.8038612301,-73.9667075405
"Upper West Side",2016-05-01,40.7803212402,-73.9813105102
"Woodside",2016-01-01,40.7475179999,-73.9105759999
"Morningside Heights",2018-08-01,40.8112048322,-73.9538487753
"Rossville-Woodrow",2016-01-01,40.5340582999,-74.193236856
"East Concourse-Concourse Village",2016-01-01,40.8423270004,-73.9097340002
"West Village",2016-01-01,40.7303280003,-73.9926289996
"East Harlem North",2016-01-01,40.7936690002,-73.9368160005
"Governors Island",2016-01-01,40.6904099998,-74.0176699999
"Midtown-Midtown South",2017-12-01,40.7462508997,-73.9905059896
"Midtown-Midtown South",2016-01-01,40.750373,-73.9910570003
"Lenox Hill-Roosevelt Island",2018-03-01,40.7632177698,-73.9592016295
"Bushwick North",2016-01-01,40.7038110001,-73.9184250003
"Elmhurst-Maspeth",2017-01-01,40.7381085702,-73.8857174696
"Turtle Bay-East Midtown",2018-05-01,40.7549906503,-73.9651895595
"Woodhaven",2017-07-01,40.6939628501,-73.8511847395
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2016-01-01,40.6901370001,-73.9832259996
"Upper East Side-Carnegie Hill",2016-03-01,40.7768330001,-73.9555860005
"Prospect Heights",2018-03-01,40.6784527942,-73.9732527771
"Carroll Gardens-Columbia Street-Red Hook",2016-01-01,40.6723560001,-74.0040460005
"Murray Hill-Kips Bay",2018-05-01,40.7470545903,-73.9810610705
"Murray Hill-Kips Bay",2016-01-01,40.7412250301,-73.9789346196
"Central Harlem South",2016-01-01,40.8006050001,-73.9581590002
"Fort Greene",2017-03-01,40.6878896096,-73.9782016897
"Upper East Side-Carnegie Hill",2016-01-01,40.7626599996,-73.9672579996
"Hunters Point-Sunnyside-West Maspeth",2017-02-01,40.7444500197,-73.9318752102
"Upper West Side",2016-01-01,40.7994460003,-73.9683789996
"East Harlem North",2016-03-01,40.8035156697,-73.9361068502
"Van Nest-Morris Park-Westchester Square",2016-01-01,40.8480291101,-73.8569578538
"Morningside Heights",2016-09-01,40.8103780004,-73.9583210001
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2016-01-01,40.6937210001,-73.9833279997
"Hudson Yards-Chelsea-Flatiron-Union Square",2018-05-01,40.7415020499,-73.9935926005
"Lincoln Square",2017-10-01,40.7749130002,-73.9823880003
"Queensboro Hill",2016-01-01,40.7484900001,-73.8212100001
"Hudson Yards-Chelsea-Flatiron-Union Square",2016-01-01,40.7427538286,-74.0076720715
"Upper West Side",2017-08-01,40.7894572696,-73.9750410102
"SoHo-TriBeCa-Civic Center-Little Italy",2016-12-01,40.716869,-73.9975780003
"Elmhurst",2017-09-01,40.7479809503,-73.8800268197
"Brooklyn Heights-Cobble Hill",2016-01-01,40.7014999998,-73.9943000006
"Lenox Hill-Roosevelt Island",2018-06-01,40.7609463402,-73.9613974296
"Fordham South",2017-10-01,40.8621522603,-73.89839588
"East Village",2016-09-01,40.7305370603,-73.9863894501
"Sheepshead Bay-Gerritsen Beach-Manhattan Beach",2016-01-01,40.5769599998,-73.9435899994
"Hudson Yards-Chelsea-Flatiron-Union Square",2018-02-01,40.7391065499,-73.9991502702
"Elmhurst",2016-01-01,40.7424539997,-73.8820169994
"Pelham Bay-Country Club-City Island",2016-01-01,40.8476919036,-73.786366589
"Hamilton Heights",2016-07-01,40.8302090304,-73.9479114794
"Hudson Yards-Chelsea-Flatiron-Union Square",2016-05-01,40.7546658704,-73.9918160201
"Midtown-Midtown South",2016-01-01,40.7542219997,-73.984569
"Upper East Side-Carnegie Hill",2016-01-01,40.785672,-73.9510700004
"park-cemetery-etc-Bronx",2016-01-01,40.8356910004,-73.900089
"Bedford Park-Fordham North",2016-01-01,40.8612959996,-73.8977489998
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2016-01-01,40.6960269997,-73.9884560003
"Central Harlem South",2016-01-01,40.806858,-73.9497260004
"SoHo-TriBeCa-Civic Center-Little Italy",2017-10-01,40.7228704203,-74.0079797698
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2017-05-01,40.6905944398,-73.9879984001
"Hamilton Heights",2016-07-01,40.8273201098,-73.9500258603
"Central Harlem South",2017-01-01,40.8040469596,-73.9521399306
"Crown Heights North",2016-01-01,40.6736949998,-73.9349349997
"Fort Greene",2017-01-01,40.6888509997,-73.9806129999
"West Concourse",2018-07-01,40.8349041574,-73.9182258958
"East Williamsburg",2017-05-01,40.7050604197,-73.9429175794
"West Concourse",2017-06-01,40.8175121901,-73.9288864302
"Eastchester-Edenwald-Baychester",2016-01-01,40.8747769996,-73.8391809994
"Fort Greene",2016-01-01,40.6906220002,-73.9814140004
"East Harlem North",2018-05-01,40.7996585501,-73.9389231001
"East Harlem North",2016-01-01,40.8013499999,-73.9457560005
"Lincoln Square",2016-07-01,40.7747231097,-73.9820050802
"Mott Haven-Port Morris",2016-01-01,40.8183750003,-73.927351
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2016-01-01,40.6993369998,-73.9905309995
"Gramercy",2017-12-01,40.7385025002,-73.9806104498
"Dyker Heights",2016-01-01,40.6292120977,-74.0118696682
"Murray Hill-Kips Bay",2016-02-01,40.7464490002,-73.9774439997
"Park Slope-Gowanus",2018-02-01,40.6761340504,-73.9718355401
"Lincoln Square",2018-06-01,40.7773770899,-73.9784436769
"Hunters Point-Sunnyside-West Maspeth",2017-02-01,40.7429119999,-73.9185400005
"Hudson Yards-Chelsea-Flatiron-Union Square",2017-05-01,40.7425728603,-73.9866479603
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2016-01-01,40.6936359997,-73.9883469996
"Melrose South-Mott Haven North",2016-12-01,40.8184607404,-73.9146837503
"Turtle Bay-East Midtown",2017-04-01,40.7577931902,-73.9717031299
"Old Town-Dongan Hills-South Beach",2016-01-01,40.5889999997,-74.0666999999
"Hunts Point",2016-01-01,40.8186874033,-73.8941356433
"Hunters Point-Sunnyside-West Maspeth",2017-11-01,40.7537456299,-73.9177027995
"Turtle Bay-East Midtown",2016-03-01,40.7565048904,-73.9701114701
"Kingsbridge Heights",2017-05-01,40.8626850001,-73.9075480003
"Gramercy",2017-02-01,40.7315210502,-73.9827646995
"Fort Greene",2016-01-01,40.6937239998,-73.9773511998
"Upper West Side",2018-04-01,40.7894240003,-73.9753910002
"Hudson Yards-Chelsea-Flatiron-Union Square",2016-01-01,40.7474,-74.0051
"Turtle Bay-East Midtown",2019-02-01,40.7571132197,-73.97008839
"Crown Heights North",2018-06-01,40.6740388697,-73.9568263802
"Hudson Yards-Chelsea-Flatiron-Union Square",2016-01-01,40.7499080001,-74.0008900004
"Greenpoint",2017-06-01,40.7254560003,-73.9514960001
"Central Harlem North-Polo Grounds",2016-01-01,40.8131219996,-73.944376
"park-cemetery-etc-Queens",2016-01-01,40.7436599998,-73.8139600006
"Jamaica",2016-09-01,40.7065069998,-73.7923679995
"Kew Gardens",2016-01-01,40.7108180001,-73.8355280003
"North Corona",2016-01-01,40.7508940804,-73.861976844
"Midtown-Midtown South",2017-10-01,40.7461548499,-73.9942858303
"Soundview-Castle Hill-Clason Point-Harding Park",2016-01-01,40.816357,-73.8374489998
"Hudson Yards-Chelsea-Flatiron-Union Square",2016-01-01,40.7359999997,-73.9903999999
"Soundview-Castle Hill-Clason Point-Harding Park",2016-01-01,40.8187093522,-73.8628899561
"Bellerose",2016-01-01,40.7393530001,-73.7368249997
"Old Town-Dongan Hills-South Beach",2016-01-01,40.5795809999,-74.0763590003
"Upper East Side-Carnegie Hill",2016-11-01,40.7691016202,-73.9613243601
"Seagate-Coney Island",2016-01-01,40.573432,-73.9785099996
"Brownsville",2016-01-01,40.6571,-73.9026999998
"Clinton",2016-08-01,40.7673575899,-73.9825635397
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2017-09-01,40.6861770004,-73.9910140005
"Midtown-Midtown South",2016-07-01,40.7606321744,-73.9842828912
"Midtown-Midtown South",2016-04-01,40.7621510004,-73.9860519995
"Clinton",2018-02-01,40.7658753002,-73.9910573799
"Upper West Side",2016-10-01,40.7971782397,-73.9682234604
"Midtown-Midtown South",2017-01-01,40.7543114499,-73.9883300405
"Mount Hope",2017-07-01,40.8438812102,-73.91292955
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2016-01-01,40.6896330001,-73.9831650003
"West Village",2016-11-01,40.7323914704,-73.9913869298
"Upper West Side",2018-05-01,40.7889861597,-73.9704824301
"North Riverdale-Fieldston-Riverdale",2016-01-01,40.8862733773,-73.9146700146
"Fort Greene",2016-01-01,40.6948679999,-73.9750242003
"Midtown-Midtown South",2017-03-01,40.7477366403,-73.9848334404
"North Side-South Side",2018-02-01,40.7072078604,-73.9541948804
"Midtown-Midtown South",2016-01-01,40.7628620003,-73.9816369997
"Central Harlem North-Polo Grounds",2016-01-01,40.812598,-73.9462960005
"Queensbridge-Ravenswood-Long Island City",2018-05-01,40.755636,-73.9476570003
"Lincoln Square",2016-10-01,40.7765300602,-73.9830151495
"North Side-South Side",2018-02-01,40.7213825503,-73.9603523499
"Hamilton Heights",2017-08-01,40.82312201,-73.9490138205
"Kew Gardens",2018-02-01,40.70615073,-73.8315789698
"New Dorp-Midland Beach",2016-01-01,40.5693649999,-74.0894899998
"East Harlem North",2016-07-01,40.7981394597,-73.9400362602
"Fordham South",2016-07-01,40.861349,-73.8980229996
"Upper East Side-Carnegie Hill",2017-07-01,40.7665880203,-73.9631359902
"Central Harlem South",2017-01-01,40.8087930897,-73.9481246405
"Middle Village",2016-01-01,40.7197,-73.8771189999
"Morningside Heights",2018-02-01,40.8010010503,-73.9614484103
"park-cemetery-etc-Queens",2016-01-01,40.7144409996,-73.8310080003
"Hamilton Heights",2016-01-01,40.8241309998,-73.9424640006
"Ocean Hill",2017-05-01,40.6780357896,-73.9076195796
"Woodhaven",2017-07-01,40.6924510598,-73.86085811
"West Farms-Bronx River",2016-01-01,40.8299928753,-73.8750206002
"Hudson Yards-Chelsea-Flatiron-Union Square",2017-06-01,40.7450387297,-73.9985293495
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2016-01-01,40.6936359997,-73.9883469996
"Washington Heights South",2016-01-01,40.8478700412,-73.9338659131
"Central Harlem North-Polo Grounds",2016-01-01,40.8093570002,-73.9444609996
"Richmond Hill",2016-01-01,40.6941650003,-73.8223679995
"Upper West Side",2018-05-01,40.7888316302,-73.9703352001
"Manhattanville",2016-09-01,40.817656,-73.9530070005
"Cypress Hills-City Line",2016-01-01,40.6770439996,-73.86505
"East Harlem South",2016-01-01,40.7842670002,-73.9471140001
"Oakwood-Oakwood Beach",2017-01-01,40.5617550602,-74.1121606096
"Forest Hills",2017-08-01,40.7264949997,-73.8531379997
"East Village",2016-11-01,40.7341270798,-73.9897779802
"East Village",2016-10-01,40.7322469404,-73.9851321
"Chinatown",2017-06-01,40.7145080596,-73.9924896103
"Bath Beach",2016-01-01,40.5971609997,-74.0013589994
"Melrose South-Mott Haven North",2016-12-01,40.8166790698,-73.9164828502
"Upper West Side",2017-02-01,40.7920347996,-73.9719786503
"Clinton",2018-01-01,40.7651592101,-73.9913119401
"Upper West Side",2016-07-01,40.7938216596,-73.9720347904
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2016-01-01,40.6933500001,-73.9857879998
"Midtown-Midtown South",2018-02-01,40.7545932496,-73.9881367804
"Hunters Point-Sunnyside-West Maspeth",2017-04-01,40.7446080003,-73.9337259998
"Jackson Heights",2017-08-01,40.7474122763,-73.8876150889
"Forest Hills",2017-04-01,40.7280673233,-73.8574456475
"Queensbridge-Ravenswood-Long Island City",2018-05-01,40.7557510001,-73.9451659997
"West New Brighton-New Brighton-St. George",2016-01-01,40.6419820003,-74.1018689994
"Queens Village",2016-01-01,40.7198855543,-73.7390438189
"North Side-South Side",2018-02-01,40.71385109,-73.95953976
"Elmhurst-Maspeth",2017-08-01,40.7466703704,-73.8924897106
"Erasmus",2018-03-01,40.6553200002,-73.9499660006
"Fort Greene",2016-01-01,40.6893339998,-73.9819749997
"Prospect Heights",2018-04-01,40.6808878802,-73.9646683496
"Hudson Yards-Chelsea-Flatiron-Union Square",2016-01-01,40.7408930002,-74.0016900006
"Lenox Hill-Roosevelt Island",2018-03-01,40.7669517303,-73.95646462
"University Heights-Morris Heights",2016-01-01,40.8494940806,-73.9175775272
"North Side-South Side",2016-01-01,40.7200999998,-73.9502000002
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2016-01-01,40.6899240002,-73.9881169997
"Upper West Side",2016-05-01,40.7817067602,-73.9808266995
"Forest Hills",2017-07-01,40.7266949997,-73.8539290005
"Lenox Hill-Roosevelt Island",2018-01-01,40.7677701301,-73.9556905705
"St. Albans",2016-01-01,40.687191,-73.7695589996
"Central Harlem South",2017-01-01,40.8078177198,-73.9458303502
"Mount Hope",2017-08-01,40.8518783096,-73.9089756596
"Midtown-Midtown South",2016-12-01,40.7523392204,-73.9875737401
"park-cemetery-etc-Bronx",2016-01-01,40.8398919996,-73.8953700006
"Central Harlem North-Polo Grounds",2016-01-01,40.8112659998,-73.9501259997
"Bedford Park-Fordham North",2017-06-01,40.8619933198,-73.8918299601
"Morningside Heights",2018-05-01,40.8004045493,-73.961891271
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2016-01-01,40.688484,-73.9850010004
"park-cemetery-etc-Brooklyn",2016-01-01,40.6723435263,-73.9682243829
"SoHo-TriBeCa-Civic Center-Little Italy",2016-01-01,40.7141109999,-74.0085849996
"Brooklyn Heights-Cobble Hill",2017-02-01,40.6975877701,-73.9930285697
"Ft. Totten-Bay Terrace-Clearview",2016-01-01,40.7825312039,-73.777008814
"Woodhaven",2017-09-01,40.6917337899,-73.8650147801
"park-cemetery-etc-Brooklyn",2016-01-01,40.65068,-73.9684599995
"Hudson Yards-Chelsea-Flatiron-Union Square",2018-03-01,40.7425484198,-73.9932091604
"Astoria",2018-01-01,40.75972324,-73.9207631705
"Ocean Hill",2018-01-01,40.6778949796,-73.9029900497
"Turtle Bay-East Midtown",2018-05-01,40.7523429702,-73.9705235803
"East Village",2018-02-01,40.7238070503,-73.9882241804
"Yorkville",2016-04-01,40.7775610002,-73.9547519995
"Central Harlem North-Polo Grounds",2016-01-01,40.8157049997,-73.9395189995
